symbol,start_date,end_date,digit_type,mad,target
KRW-SC,2025-01-01-00:00,2024-12-31-00:00,first,0.010445951324127914,TA
KRW-SC,2025-01-01-00:00,2024-12-31-00:00,second,0.024003035415569494,TA
KRW-SC,2024-12-31-00:00,2024-12-30-00:00,first,0.012878797345110167,TA
KRW-SC,2024-12-31-00:00,2024-12-30-00:00,second,0.021231342535752033,TA
KRW-SC,2024-12-30-00:00,2024-12-29-00:00,first,0.00940055572606383,TA
KRW-SC,2024-12-30-00:00,2024-12-29-00:00,second,0.025064675869085368,TA
KRW-SC,2024-12-29-00:00,2024-12-28-00:00,first,0.01290945135987087,TA
KRW-SC,2024-12-29-00:00,2024-12-28-00:00,second,0.017486655187574085,TA
KRW-SC,2024-12-28-00:00,2024-12-27-00:00,first,0.01464638687651528,TA
KRW-SC,2024-12-28-00:00,2024-12-27-00:00,second,0.016003035415569494,TA
KRW-SC,2024-12-27-00:00,2024-12-26-00:00,first,0.016498052750130485,TA
KRW-SC,2024-12-27-00:00,2024-12-26-00:00,second,0.02000303541556949,TA
KRW-SC,2024-12-26-00:00,2024-12-25-00:00,first,0.013363421986432842,TA
KRW-SC,2024-12-26-00:00,2024-12-25-00:00,second,0.021231342535752033,TA
KRW-SC,2024-12-25-00:00,2024-12-24-00:00,first,0.011622963926522695,TA
KRW-SC,2024-12-25-00:00,2024-12-24-00:00,second,0.015619988520907424,TA
KRW-SC,2024-12-24-00:00,2024-12-23-00:00,first,0.006535164682025421,TA
KRW-SC,2024-12-24-00:00,2024-12-23-00:00,second,0.014300657280049454,TA
KRW-SC,2024-12-23-00:00,2024-12-22-00:00,first,0.010144722307476357,TA
KRW-SC,2024-12-23-00:00,2024-12-22-00:00,second,0.01502998332909567,TA
KRW-SC,2024-12-22-00:00,2024-12-21-00:00,first,0.008733792356803213,TA
KRW-SC,2024-12-22-00:00,2024-12-21-00:00,second,0.013292095578043162,TA
KRW-SC,2024-12-21-00:00,2024-12-20-00:00,first,0.010621947513642526,TA
KRW-SC,2024-12-21-00:00,2024-12-20-00:00,second,0.009682846767032786,TA
KRW-SC,2024-12-20-00:00,2024-12-19-00:00,first,0.0076980189342033606,TA
KRW-SC,2024-12-20-00:00,2024-12-19-00:00,second,0.013623112653605338,TA
KRW-SC,2024-12-19-00:00,2024-12-18-00:00,first,0.010397598544459282,TA
KRW-SC,2024-12-19-00:00,2024-12-18-00:00,second,0.015564675869085368,TA
KRW-SC,2024-12-18-00:00,2024-12-17-00:00,first,0.009545464011776833,TA
KRW-SC,2024-12-18-00:00,2024-12-17-00:00,second,0.01421733181997976,TA
KRW-SC,2024-12-17-00:00,2024-12-16-00:00,first,0.009602780838965262,TA
KRW-SC,2024-12-17-00:00,2024-12-16-00:00,second,0.015945041364300194,TA
KRW-SC,2024-12-16-00:00,2024-12-15-00:00,first,0.009907661799356806,TA
KRW-SC,2024-12-16-00:00,2024-12-15-00:00,second,0.01906467586908537,TA
KRW-SC,2024-12-15-00:00,2024-12-14-00:00,first,0.0070860518809607986,TA
KRW-SC,2024-12-15-00:00,2024-12-14-00:00,second,0.015398009202418706,TA
KRW-SC,2024-12-14-00:00,2024-12-13-00:00,first,0.0100283957951794,TA
KRW-SC,2024-12-14-00:00,2024-12-13-00:00,second,0.016048551326181937,TA
KRW-SC,2024-12-13-00:00,2024-12-12-00:00,first,0.008440714115206006,TA
KRW-SC,2024-12-13-00:00,2024-12-12-00:00,second,0.009950926815043875,TA
KRW-SC,2024-12-12-00:00,2024-12-11-00:00,first,0.00951900898532181,TA
KRW-SC,2024-12-12-00:00,2024-12-11-00:00,second,0.011443514422906597,TA
KRW-SC,2024-12-11-00:00,2024-12-10-00:00,first,0.005961588265147033,TA
KRW-SC,2024-12-11-00:00,2024-12-10-00:00,second,0.009040279459538288,TA
KRW-SC,2024-12-10-00:00,2024-12-09-00:00,first,0.00489547898789066,TA
KRW-SC,2024-12-10-00:00,2024-12-09-00:00,second,0.005594814675408922,TA
KRW-SC,2024-12-09-00:00,2024-12-08-00:00,first,0.007931707398020219,TA
KRW-SC,2024-12-09-00:00,2024-12-08-00:00,second,0.011175000647242282,TA
KRW-SC,2024-12-08-00:00,2024-12-07-00:00,first,0.011574328466023468,TA
KRW-SC,2024-12-08-00:00,2024-12-07-00:00,second,0.009715226616145519,TA
KRW-SC,2024-12-07-00:00,2024-12-06-00:00,first,0.0058000048177986735,TA
KRW-SC,2024-12-07-00:00,2024-12-06-00:00,second,0.006448763822893486,TA
KRW-SC,2024-12-06-00:00,2024-12-05-00:00,first,0.005499011876001011,TA
KRW-SC,2024-12-06-00:00,2024-12-05-00:00,second,0.008033604784198959,TA
KRW-SC,2024-12-05-00:00,2024-12-04-00:00,first,0.008080711488299811,TA
KRW-SC,2024-12-05-00:00,2024-12-04-00:00,second,0.006175208972576701,TA
KRW-SC,2024-12-04-00:00,2024-12-03-00:00,first,0.003847904696372388,TA
KRW-SC,2024-12-04-00:00,2024-12-03-00:00,second,0.00593758277168205,TA
KRW-SC,2024-12-03-00:00,2024-12-02-00:00,first,0.011372027749016887,TA
KRW-SC,2024-12-03-00:00,2024-12-02-00:00,second,0.01056360028423935,TA
KRW-SC,2024-12-02-00:00,2024-12-01-00:00,first,0.012355796448208115,TA
KRW-SC,2024-12-02-00:00,2024-12-01-00:00,second,0.014000940901859804,TA
KRW-SC,2024-12-01-00:00,2024-11-30-00:00,first,0.006270235034050612,TA
KRW-SC,2024-12-01-00:00,2024-11-30-00:00,second,0.014478160997038506,TA
KRW-SC,2024-11-30-00:00,2024-11-29-00:00,first,0.008451468432487124,TA
KRW-SC,2024-11-30-00:00,2024-11-29-00:00,second,0.015858083759002654,TA
KRW-SC,2024-11-29-00:00,2024-11-28-00:00,first,0.009687340221027393,TA
KRW-SC,2024-11-29-00:00,2024-11-28-00:00,second,0.011851420872307564,TA
KRW-SC,2024-11-28-00:00,2024-11-27-00:00,first,0.008762187442735353,TA
KRW-SC,2024-11-28-00:00,2024-11-27-00:00,second,0.01077759616316242,TA
