symbol,start_date,end_date,digit_type,mad,target
KRW-XEC,2025-01-01-00:00,2024-12-31-00:00,first,0.007816547797566485,TA
KRW-XEC,2025-01-01-00:00,2024-12-31-00:00,second,0.021686655187574087,TA
KRW-XEC,2024-12-31-00:00,2024-12-30-00:00,first,0.014043985420974554,TA
KRW-XEC,2024-12-31-00:00,2024-12-30-00:00,second,0.02061998852090742,TA
KRW-XEC,2024-12-30-00:00,2024-12-29-00:00,first,0.012181759344513399,TA
KRW-XEC,2024-12-30-00:00,2024-12-29-00:00,second,0.02188972871247814,TA
KRW-XEC,2024-12-29-00:00,2024-12-28-00:00,first,0.01176444637156391,TA
KRW-XEC,2024-12-29-00:00,2024-12-28-00:00,second,0.02490037606798372,TA
KRW-XEC,2024-12-28-00:00,2024-12-27-00:00,first,0.01423241046859489,TA
KRW-XEC,2024-12-28-00:00,2024-12-27-00:00,second,0.019731342535752032,TA
KRW-XEC,2024-12-27-00:00,2024-12-26-00:00,first,0.009607713559320512,TA
KRW-XEC,2024-12-27-00:00,2024-12-26-00:00,second,0.012953321854240757,TA
KRW-XEC,2024-12-26-00:00,2024-12-25-00:00,first,0.0074779589382157445,TA
KRW-XEC,2024-12-26-00:00,2024-12-25-00:00,second,0.01556467586908537,TA
KRW-XEC,2024-12-25-00:00,2024-12-24-00:00,first,0.010304487196182202,TA
KRW-XEC,2024-12-25-00:00,2024-12-24-00:00,second,0.015443514422906599,TA
KRW-XEC,2024-12-24-00:00,2024-12-23-00:00,first,0.011253498885653749,TA
KRW-XEC,2024-12-24-00:00,2024-12-23-00:00,second,0.012137123369377615,TA
KRW-XEC,2024-12-23-00:00,2024-12-22-00:00,first,0.012936114172298598,TA
KRW-XEC,2024-12-23-00:00,2024-12-22-00:00,second,0.011310561669508456,TA
KRW-XEC,2024-12-22-00:00,2024-12-21-00:00,first,0.0067224228178025215,TA
KRW-XEC,2024-12-22-00:00,2024-12-21-00:00,second,0.009646923275934546,TA
KRW-XEC,2024-12-21-00:00,2024-12-20-00:00,first,0.007012142686634578,TA
KRW-XEC,2024-12-21-00:00,2024-12-20-00:00,second,0.009839553486777794,TA
KRW-XEC,2024-12-20-00:00,2024-12-19-00:00,first,0.00513654972468596,TA
KRW-XEC,2024-12-20-00:00,2024-12-19-00:00,second,0.009944545140414505,TA
KRW-XEC,2024-12-19-00:00,2024-12-18-00:00,first,0.011943531924550612,TA
KRW-XEC,2024-12-19-00:00,2024-12-18-00:00,second,0.012275769703019409,TA
KRW-XEC,2024-12-18-00:00,2024-12-17-00:00,first,0.01058511826257818,TA
KRW-XEC,2024-12-18-00:00,2024-12-17-00:00,second,0.014583188308708977,TA
KRW-XEC,2024-12-17-00:00,2024-12-16-00:00,first,0.010524561572954613,TA
KRW-XEC,2024-12-17-00:00,2024-12-16-00:00,second,0.010572369473288374,TA
KRW-XEC,2024-12-16-00:00,2024-12-15-00:00,first,0.008779173574082502,TA
KRW-XEC,2024-12-16-00:00,2024-12-15-00:00,second,0.009836379439027378,TA
KRW-XEC,2024-12-15-00:00,2024-12-14-00:00,first,0.008249167715480541,TA
KRW-XEC,2024-12-15-00:00,2024-12-14-00:00,second,0.012796443305486788,TA
KRW-XEC,2024-12-14-00:00,2024-12-13-00:00,first,0.009427064548887958,TA
KRW-XEC,2024-12-14-00:00,2024-12-13-00:00,second,0.01271522661614552,TA
KRW-XEC,2024-12-13-00:00,2024-12-12-00:00,first,0.004000282680830593,TA
KRW-XEC,2024-12-13-00:00,2024-12-12-00:00,second,0.0073818739693907245,TA
KRW-XEC,2024-12-12-00:00,2024-12-11-00:00,first,0.007802933710522036,TA
