symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
VETUSDT,2024-01-01,2024-01-02-00:00,first,"[0.3004857737682165, 0.16585704371963914, 0.1325468424705066, 0.10825815405968078, 0.08743927827897294, 0.06731436502428868, 0.05829285218598196, 0.04580152671755725, 0.034004163775156145]",0.0061961688326999,2.862900598531952
VETUSDT,2024-01-01,2024-01-02-00:00,second,"[0.12421929215822346, 0.11450381679389313, 0.12421929215822346, 0.09299097848716169, 0.10062456627342123, 0.09923664122137404, 0.0916030534351145, 0.08813324080499653, 0.08049965301873699, 0.08396946564885496]",0.0046854599050575,3.3057728641272903
VETUSDT,2024-01-02,2024-01-03-00:00,first,"[0.2505204718945177, 0.1839000693962526, 0.12213740458015267, 0.10895211658570438, 0.08466342817487855, 0.08188757807078417, 0.05759888965995836, 0.05968077723802915, 0.05065926439972242]",0.0119342029145198,2.9635867351791867
VETUSDT,2024-01-02,2024-01-03-00:00,second,"[0.11172796668979876, 0.10687022900763359, 0.1054823039555864, 0.1179736294240111, 0.09923664122137404, 0.10756419153365718, 0.09784871616932686, 0.09715475364330327, 0.08674531575294935, 0.06939625260235947]",0.0071615539368753,3.3088226372268803
VETUSDT,2024-01-03,2024-01-04-00:00,first,"[0.27291666666666664, 0.18888888888888888, 0.13819444444444445, 0.10555555555555556, 0.07430555555555556, 0.06527777777777778, 0.06527777777777778, 0.04652777777777778, 0.043055555555555555]",0.0093299357815427,2.896452752298903
VETUSDT,2024-01-03,2024-01-04-00:00,second,"[0.1111111111111111, 0.11319444444444444, 0.09166666666666666, 0.10347222222222222, 0.11180555555555556, 0.10277777777777777, 0.09305555555555556, 0.09236111111111112, 0.08611111111111111, 0.09444444444444444]",0.0058108218983382,3.315764320318302
VETUSDT,2024-01-04,2024-01-05-00:00,first,"[0.2652777777777778, 0.18263888888888888, 0.13958333333333334, 0.10555555555555556, 0.07222222222222222, 0.08472222222222223, 0.05694444444444444, 0.043055555555555555, 0.05]",0.0115234913637053,2.917221429621492
VETUSDT,2024-01-04,2024-01-05-00:00,second,"[0.11944444444444445, 0.09097222222222222, 0.1125, 0.11180555555555556, 0.10069444444444445, 0.10694444444444444, 0.10416666666666667, 0.08194444444444444, 0.08472222222222223, 0.08680555555555555]",0.0068816163039137,3.31063859053966
VETUSDT,2024-01-05,2024-01-06-00:00,first,"[0.28313671061762663, 0.19569743233865372, 0.1304649548924358, 0.10478834142956281, 0.07702984038861901, 0.06870229007633588, 0.05065926439972242, 0.049271339347675226, 0.040249826509368494]",0.007725826763186,2.869188108580349
VETUSDT,2024-01-05,2024-01-06-00:00,second,"[0.12630117973629423, 0.11242192921582235, 0.10825815405968078, 0.11311589174184594, 0.09299097848716169, 0.09507286606523248, 0.0936849410131853, 0.09784871616932686, 0.08327550312283137, 0.07702984038861901]",0.0046430349560345,3.3074417221313346
VETUSDT,2024-01-06,2024-01-07-00:00,first,"[0.2685634975711312, 0.1873698820263706, 0.12421929215822346, 0.10062456627342123, 0.09021512838306732, 0.08119361554476058, 0.056210964607911175, 0.049271339347675226, 0.04233171408743928]",0.0089497521079208,2.9169831071915007
VETUSDT,2024-01-06,2024-01-07-00:00,second,"[0.1311589174184594, 0.11380985426786953, 0.10895211658570438, 0.10062456627342123, 0.10062456627342123, 0.08743927827897294, 0.08327550312283137, 0.0922970159611381, 0.08813324080499653, 0.0936849410131853]",0.0046244866561558,3.308551214766655
VETUSDT,2024-01-07,2024-01-08-00:00,first,"[0.2883947185545518, 0.1834607366226546, 0.1292564280750521, 0.10076441973592773, 0.08756080611535788, 0.07227241139680333, 0.04586518415566365, 0.05489923558026407, 0.037526059763724806]",0.0073318823840895,2.874445355569861
VETUSDT,2024-01-07,2024-01-08-00:00,second,"[0.11674774148714386, 0.11466296038915914, 0.10284920083391244, 0.103544127866574, 0.0917303683113273, 0.10423905489923559, 0.09798471160528145, 0.09728978457261987, 0.07713690062543432, 0.09381514940931203]",0.0057400489110794,3.3132850968957634
VETUSDT,2024-01-08,2024-01-09-00:00,first,"[0.32222222222222224, 0.19305555555555556, 0.11041666666666666, 0.09097222222222222, 0.06736111111111111, 0.058333333333333334, 0.06458333333333334, 0.04722222222222222, 0.04583333333333333]",0.0099608338192044,2.8186162444065896
VETUSDT,2024-01-08,2024-01-09-00:00,second,"[0.1111111111111111, 0.10972222222222222, 0.10555555555555556, 0.10972222222222222, 0.09375, 0.10694444444444444, 0.10277777777777777, 0.08402777777777778, 0.09652777777777778, 0.0798611111111111]",0.0068041273654085,3.31366619264306
