symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
XVGUSDT,2024-01-01,2024-01-02-00:00,first,"[0.31092436974789917, 0.16176470588235295, 0.11204481792717087, 0.10434173669467788, 0.10294117647058823, 0.07212885154061624, 0.04971988795518207, 0.046218487394957986, 0.03991596638655462]",0.010281797800779,2.8602162198287537
XVGUSDT,2024-01-01,2024-01-02-00:00,second,"[0.12815126050420167, 0.10994397759103641, 0.1092436974789916, 0.09313725490196079, 0.09243697478991597, 0.0819327731092437, 0.10714285714285714, 0.0896358543417367, 0.11064425770308123, 0.07773109243697479]",0.0091473031729689,3.30628278972831
XVGUSDT,2024-01-02,2024-01-03-00:00,first,"[0.32521489971346706, 0.17048710601719197, 0.11962750716332378, 0.083810888252149, 0.07808022922636103, 0.058022922636103154, 0.054441260744985676, 0.05515759312320917, 0.05515759312320917]",0.0083533505084106,2.843703219150299
XVGUSDT,2024-01-02,2024-01-03-00:00,second,"[0.1296561604584527, 0.11461318051575932, 0.1167621776504298, 0.09097421203438395, 0.08882521489971347, 0.09742120343839542, 0.10028653295128939, 0.08667621776504297, 0.09312320916905444, 0.08166189111747851]",0.0063699136018431,3.3068676922606635
XVGUSDT,2024-01-03,2024-01-04-00:00,first,"[0.3155588020452885, 0.1789627465303141, 0.10518626734842951, 0.08911614317019723, 0.09130752373995617, 0.06281957633308985, 0.05697589481373265, 0.05113221329437546, 0.04894083272461651]",0.007268869713825,2.855920744489581
XVGUSDT,2024-01-03,2024-01-04-00:00,second,"[0.13878743608473337, 0.09349890430971512, 0.1095690284879474, 0.10226442658875091, 0.12198685171658144, 0.09715120525931337, 0.08327246165084003, 0.08765522279035792, 0.06939371804236669, 0.09642074506939372]",0.0106863417775972,3.2969937933989217
XVGUSDT,2024-01-04,2024-01-05-00:00,first,"[0.3154121863799283, 0.16845878136200718, 0.12903225806451613, 0.0996415770609319, 0.07956989247311828, 0.05949820788530466, 0.052329749103942655, 0.052329749103942655, 0.04372759856630824]",0.0050606998460207,2.8463046611996976
XVGUSDT,2024-01-04,2024-01-05-00:00,second,"[0.10967741935483871, 0.10896057347670252, 0.1060931899641577, 0.10681003584229391, 0.0953405017921147, 0.1032258064516129, 0.0960573476702509, 0.09462365591397849, 0.08745519713261649, 0.09175627240143369]",0.0045484490271912,3.317871468203268
XVGUSDT,2024-01-05,2024-01-06-00:00,first,"[0.29092261904761907, 0.16071428571428573, 0.12053571428571429, 0.10714285714285714, 0.09375, 0.07366071428571429, 0.05282738095238095, 0.046875, 0.05357142857142857]",0.00873988016734,2.909899153874348
XVGUSDT,2024-01-05,2024-01-06-00:00,second,"[0.12872023809523808, 0.10193452380952381, 0.10863095238095238, 0.10044642857142858, 0.09523809523809523, 0.08110119047619048, 0.09151785714285714, 0.09523809523809523, 0.08854166666666667, 0.10863095238095238]",0.0077064577755829,3.31079610958484
XVGUSDT,2024-01-06,2024-01-07-00:00,first,"[0.27717391304347827, 0.18167701863354038, 0.12422360248447205, 0.09083850931677019, 0.09161490683229814, 0.07686335403726709, 0.06288819875776397, 0.04114906832298137, 0.05357142857142857]",0.0090324832355593,2.91527862262555
XVGUSDT,2024-01-06,2024-01-07-00:00,second,"[0.12577639751552794, 0.11024844720496894, 0.10403726708074534, 0.10559006211180125, 0.09161490683229814, 0.09704968944099379, 0.07841614906832298, 0.08540372670807453, 0.09627329192546584, 0.10559006211180125]",0.0074052065677747,3.3102726064380006
XVGUSDT,2024-01-07,2024-01-08-00:00,first,"[0.27040395713107995, 0.21269579554822754, 0.12036273701566365, 0.07666941467436109, 0.09068425391591096, 0.06595218466611706, 0.05688375927452597, 0.04781533388293487, 0.0585325638911789]",0.0135294705980747,2.8943087722663576
XVGUSDT,2024-01-07,2024-01-08-00:00,second,"[0.13602638087386645, 0.10305028854080792, 0.09645507007419621, 0.09563066776586975, 0.09810387469084914, 0.07584501236603462, 0.08573784006595218, 0.08573784006595218, 0.08821104699093157, 0.13520197856553998]",0.0134385464393806,3.296430908470961
XVGUSDT,2024-01-08,2024-01-09-00:00,first,"[0.30895522388059704, 0.1791044776119403, 0.11194029850746269, 0.09477611940298507, 0.08582089552238806, 0.06343283582089553, 0.05, 0.06044776119402985, 0.04552238805970149]",0.0059718522209525,2.8638355755233578
XVGUSDT,2024-01-08,2024-01-09-00:00,second,"[0.11119402985074626, 0.10149253731343283, 0.11940298507462686, 0.08880597014925373, 0.09776119402985074, 0.10746268656716418, 0.09179104477611941, 0.09328358208955224, 0.08582089552238806, 0.10298507462686567]",0.0084572504446165,3.31469599503386
XVGUSDT,2024-01-09,2024-01-10-00:00,first,"[0.29750778816199375, 0.17679127725856697, 0.12694704049844235, 0.1059190031152648, 0.08878504672897196, 0.0630841121495327, 0.04439252336448598, 0.05218068535825545, 0.04439252336448598]",0.0049665057316573,2.866307443743571
XVGUSDT,2024-01-09,2024-01-10-00:00,second,"[0.12383177570093458, 0.11448598130841121, 0.11526479750778816, 0.1059190031152648, 0.11214953271028037, 0.08722741433021806, 0.08255451713395638, 0.07866043613707165, 0.08489096573208722, 0.09501557632398754]",0.006928136220098,3.304772014297209
XVGUSDT,2024-01-10,2024-01-11-00:00,first,"[0.31716417910447764, 0.18358208955223881, 0.11865671641791045, 0.09701492537313433, 0.07686567164179105, 0.05970149253731343, 0.06119402985074627, 0.04626865671641791, 0.03955223880597015]",0.0059848909278203,2.829175207965734
