symbol,start_date,end_date,digit_type,mad,target
KRW-SHIB,2025-01-01-00:00,2024-12-29-00:00,first,0.006852245616061192,TA
KRW-SHIB,2025-01-01-00:00,2024-12-29-00:00,second,0.003869605055589938,TA
KRW-SHIB,2024-12-31-00:00,2024-12-28-00:00,first,0.00782505243216998,TA
KRW-SHIB,2024-12-31-00:00,2024-12-28-00:00,second,0.004343253510898466,TA
KRW-SHIB,2024-12-30-00:00,2024-12-27-00:00,first,0.007235475858486721,TA
KRW-SHIB,2024-12-30-00:00,2024-12-27-00:00,second,0.00514092409209186,TA
KRW-SHIB,2024-12-29-00:00,2024-12-26-00:00,first,0.0060168938541398055,TA
KRW-SHIB,2024-12-29-00:00,2024-12-26-00:00,second,0.004922341891849207,TA
KRW-SHIB,2024-12-28-00:00,2024-12-25-00:00,first,0.005639721173408353,TA
KRW-SHIB,2024-12-28-00:00,2024-12-25-00:00,second,0.005196577696992907,TA
KRW-SHIB,2024-12-27-00:00,2024-12-24-00:00,first,0.002513128644789357,TA
KRW-SHIB,2024-12-27-00:00,2024-12-24-00:00,second,0.0052443079250029685,TA
KRW-SHIB,2024-12-26-00:00,2024-12-23-00:00,first,0.0035569186212049816,TA
KRW-SHIB,2024-12-26-00:00,2024-12-23-00:00,second,0.006275432759517602,TA
KRW-SHIB,2024-12-25-00:00,2024-12-22-00:00,first,0.0045569963911543465,TA
KRW-SHIB,2024-12-25-00:00,2024-12-22-00:00,second,0.003149545535111417,TA
KRW-SHIB,2024-12-24-00:00,2024-12-21-00:00,first,0.0047422005089841224,TA
KRW-SHIB,2024-12-24-00:00,2024-12-21-00:00,second,0.0018667538740915909,TA
KRW-SHIB,2024-12-23-00:00,2024-12-20-00:00,first,0.004543771153856727,TA
KRW-SHIB,2024-12-23-00:00,2024-12-20-00:00,second,0.003560392765868127,TA
KRW-SHIB,2024-12-22-00:00,2024-12-19-00:00,first,0.005947860928879622,TA
KRW-SHIB,2024-12-22-00:00,2024-12-19-00:00,second,0.0028086772876521186,TA
KRW-SHIB,2024-12-21-00:00,2024-12-18-00:00,first,0.004789835614156273,TA
KRW-SHIB,2024-12-21-00:00,2024-12-18-00:00,second,0.0031745893338439982,TA
KRW-SHIB,2024-12-20-00:00,2024-12-17-00:00,first,0.0030406867212346375,TA
KRW-SHIB,2024-12-20-00:00,2024-12-17-00:00,second,0.0053492277316843344,TA
KRW-SHIB,2024-12-19-00:00,2024-12-16-00:00,first,0.004675211426101716,TA
KRW-SHIB,2024-12-19-00:00,2024-12-16-00:00,second,0.005686101285035454,TA
KRW-SHIB,2024-12-18-00:00,2024-12-15-00:00,first,0.004085966904231547,TA
KRW-SHIB,2024-12-18-00:00,2024-12-15-00:00,second,0.004668306354291235,TA
KRW-SHIB,2024-12-17-00:00,2024-12-14-00:00,first,0.0053013185124656075,TA
KRW-SHIB,2024-12-17-00:00,2024-12-14-00:00,second,0.003980146735723657,TA
KRW-SHIB,2024-12-16-00:00,2024-12-13-00:00,first,0.00395944041969723,TA
KRW-SHIB,2024-12-16-00:00,2024-12-13-00:00,second,0.00378071625295751,TA
KRW-SHIB,2024-12-15-00:00,2024-12-12-00:00,first,0.0066835111498239775,TA
KRW-SHIB,2024-12-15-00:00,2024-12-12-00:00,second,0.004387811251927931,TA
KRW-SHIB,2024-12-14-00:00,2024-12-11-00:00,first,0.004021708899885485,TA
KRW-SHIB,2024-12-14-00:00,2024-12-11-00:00,second,0.004842356706473384,TA
KRW-SHIB,2024-12-13-00:00,2024-12-10-00:00,first,0.005732419824831494,TA
KRW-SHIB,2024-12-13-00:00,2024-12-10-00:00,second,0.0048545211404683415,TA
KRW-SHIB,2024-12-12-00:00,2024-12-09-00:00,first,0.008961152210261916,TA
KRW-SHIB,2024-12-12-00:00,2024-12-09-00:00,second,0.0038067909124582812,TA
KRW-SHIB,2024-12-11-00:00,2024-12-08-00:00,first,0.011747241437626645,TA
KRW-SHIB,2024-12-11-00:00,2024-12-08-00:00,second,0.003554501468994277,TA
KRW-SHIB,2024-12-10-00:00,2024-12-07-00:00,first,0.009752416934152288,TA
KRW-SHIB,2024-12-10-00:00,2024-12-07-00:00,second,0.004968913993080961,TA
KRW-SHIB,2024-12-09-00:00,2024-12-06-00:00,first,0.008277747229354183,TA
KRW-SHIB,2024-12-09-00:00,2024-12-06-00:00,second,0.0036111784425053054,TA
KRW-SHIB,2024-12-08-00:00,2024-12-05-00:00,first,0.008543886568923896,TA
KRW-SHIB,2024-12-08-00:00,2024-12-05-00:00,second,0.00411744206343956,TA
KRW-SHIB,2024-12-07-00:00,2024-12-04-00:00,first,0.010412573437610761,TA
KRW-SHIB,2024-12-07-00:00,2024-12-04-00:00,second,0.004824953059166035,TA
KRW-SHIB,2024-12-06-00:00,2024-12-03-00:00,first,0.018602703069015892,TA
KRW-SHIB,2024-12-06-00:00,2024-12-03-00:00,second,0.004696048108531357,TA
KRW-SHIB,2024-12-05-00:00,2024-12-02-00:00,first,0.014259268725581547,TA
KRW-SHIB,2024-12-05-00:00,2024-12-02-00:00,second,0.003014229926713173,TA
KRW-SHIB,2024-12-04-00:00,2024-12-01-00:00,first,0.004777933317676512,TA
KRW-SHIB,2024-12-04-00:00,2024-12-01-00:00,second,0.0025391732351792927,TA
KRW-SHIB,2024-12-03-00:00,2024-11-30-00:00,first,0.0058417413754285556,TA
KRW-SHIB,2024-12-03-00:00,2024-11-30-00:00,second,0.003265487797939212,TA
KRW-SHIB,2024-12-02-00:00,2024-11-29-00:00,first,0.00687191726479972,TA
KRW-SHIB,2024-12-02-00:00,2024-11-29-00:00,second,0.0037653979344866263,TA
KRW-SHIB,2024-12-01-00:00,2024-11-28-00:00,first,0.006188483884925107,TA
KRW-SHIB,2024-12-01-00:00,2024-11-28-00:00,second,0.0034873772529753462,TA
KRW-SHIB,2024-11-30-00:00,2024-11-27-00:00,first,0.009016766713207934,TA
KRW-SHIB,2024-11-30-00:00,2024-11-27-00:00,second,0.00395593342329308,TA
KRW-SHIB,2024-11-29-00:00,2024-11-26-00:00,first,0.008542174778359196,TA
KRW-SHIB,2024-11-29-00:00,2024-11-26-00:00,second,0.004394292969777206,TA
KRW-SHIB,2024-11-28-00:00,2024-11-25-00:00,first,0.009420807117248345,TA
KRW-SHIB,2024-11-28-00:00,2024-11-25-00:00,second,0.004083680242934909,TA
KRW-SHIB,2024-11-27-00:00,2024-11-24-00:00,first,0.00491072492970623,TA
KRW-SHIB,2024-11-27-00:00,2024-11-24-00:00,second,0.0027943070798391034,TA
KRW-SHIB,2024-11-26-00:00,2024-11-23-00:00,first,0.008821539355226527,TA
KRW-SHIB,2024-11-26-00:00,2024-11-23-00:00,second,0.0035845770473599894,TA
KRW-SHIB,2024-11-25-00:00,2024-11-22-00:00,first,0.009730630264317438,TA
KRW-SHIB,2024-11-25-00:00,2024-11-22-00:00,second,0.004900872490347974,TA
KRW-SHIB,2024-11-24-00:00,2024-11-21-00:00,first,0.00578292487533655,TA
KRW-SHIB,2024-11-24-00:00,2024-11-21-00:00,second,0.005196267388985846,TA
KRW-SHIB,2024-11-23-00:00,2024-11-20-00:00,first,0.008077577684695223,TA
KRW-SHIB,2024-11-23-00:00,2024-11-20-00:00,second,0.004327337616565477,TA
KRW-SHIB,2024-11-22-00:00,2024-11-19-00:00,first,0.008814746511187736,TA
KRW-SHIB,2024-11-22-00:00,2024-11-19-00:00,second,0.00436592113680907,TA
KRW-SHIB,2024-11-21-00:00,2024-11-18-00:00,first,0.012643107109419927,TA
KRW-SHIB,2024-11-21-00:00,2024-11-18-00:00,second,0.004267664008495695,TA
KRW-SHIB,2024-11-20-00:00,2024-11-17-00:00,first,0.014006743473056292,TA
KRW-SHIB,2024-11-20-00:00,2024-11-17-00:00,second,0.005048818752848591,TA
KRW-SHIB,2024-11-19-00:00,2024-11-16-00:00,first,0.012239066705379525,TA
KRW-SHIB,2024-11-19-00:00,2024-11-16-00:00,second,0.005526151126937988,TA
KRW-SHIB,2024-11-18-00:00,2024-11-15-00:00,first,0.01055591600633551,TA
KRW-SHIB,2024-11-18-00:00,2024-11-15-00:00,second,0.005224155216817497,TA
KRW-SHIB,2024-11-17-00:00,2024-11-14-00:00,first,0.008592679828864247,TA
KRW-SHIB,2024-11-17-00:00,2024-11-14-00:00,second,0.004724684805279049,TA
KRW-SHIB,2024-11-16-00:00,2024-11-13-00:00,first,0.009138183745301294,TA
KRW-SHIB,2024-11-16-00:00,2024-11-13-00:00,second,0.003500987901491248,TA
KRW-SHIB,2024-11-15-00:00,2024-11-12-00:00,first,0.0075725271796447296,TA
KRW-SHIB,2024-11-15-00:00,2024-11-12-00:00,second,0.004605239507888728,TA
KRW-SHIB,2024-11-14-00:00,2024-11-11-00:00,first,0.006488283791842568,TA
KRW-SHIB,2024-11-14-00:00,2024-11-11-00:00,second,0.0032979902824007506,TA
KRW-SHIB,2024-11-13-00:00,2024-11-10-00:00,first,0.006299877676866822,TA
KRW-SHIB,2024-11-13-00:00,2024-11-10-00:00,second,0.003950539826825713,TA
KRW-SHIB,2024-11-12-00:00,2024-11-09-00:00,first,0.009582705959695103,TA
KRW-SHIB,2024-11-12-00:00,2024-11-09-00:00,second,0.0027906592748825954,TA
KRW-SHIB,2024-11-11-00:00,2024-11-08-00:00,first,0.007744117210430033,TA
KRW-SHIB,2024-11-11-00:00,2024-11-08-00:00,second,0.0023919626828634035,TA
KRW-SHIB,2024-11-10-00:00,2024-11-07-00:00,first,0.004518254770332508,TA
KRW-SHIB,2024-11-10-00:00,2024-11-07-00:00,second,0.0036668393861889635,TA
KRW-SHIB,2024-11-09-00:00,2024-11-06-00:00,first,0.003912194164271902,TA
KRW-SHIB,2024-11-09-00:00,2024-11-06-00:00,second,0.004264886035366108,TA
KRW-SHIB,2024-11-08-00:00,2024-11-05-00:00,first,0.0035453767755051747,TA
KRW-SHIB,2024-11-08-00:00,2024-11-05-00:00,second,0.005937747157097116,TA
KRW-SHIB,2024-11-07-00:00,2024-11-04-00:00,first,0.005360356596541025,TA
KRW-SHIB,2024-11-07-00:00,2024-11-04-00:00,second,0.004528656248006202,TA
KRW-SHIB,2024-11-06-00:00,2024-11-03-00:00,first,0.0038251302021193472,TA
KRW-SHIB,2024-11-06-00:00,2024-11-03-00:00,second,0.003336443749116304,TA
KRW-SHIB,2024-11-05-00:00,2024-11-02-00:00,first,0.004170354106067745,TA
KRW-SHIB,2024-11-05-00:00,2024-11-02-00:00,second,0.003529996964151248,TA
KRW-SHIB,2024-11-04-00:00,2024-11-01-00:00,first,0.0030456289079121798,TA
KRW-SHIB,2024-11-04-00:00,2024-11-01-00:00,second,0.003906832915876397,TA
KRW-SHIB,2024-11-03-00:00,2024-10-31-00:00,first,0.004947811557897131,TA
KRW-SHIB,2024-11-03-00:00,2024-10-31-00:00,second,0.003452287461330944,TA
KRW-SHIB,2024-11-02-00:00,2024-10-30-00:00,first,0.005149831759917337,TA
KRW-SHIB,2024-11-02-00:00,2024-10-30-00:00,second,0.002184822191131729,TA
KRW-SHIB,2024-11-01-00:00,2024-10-29-00:00,first,0.0057103011031835555,TA
KRW-SHIB,2024-11-01-00:00,2024-10-29-00:00,second,0.0028989267365716193,TA
KRW-SHIB,2024-10-31-00:00,2024-10-28-00:00,first,0.005047274654392194,TA
KRW-SHIB,2024-10-31-00:00,2024-10-28-00:00,second,0.004095962746594221,TA
KRW-SHIB,2024-10-30-00:00,2024-10-27-00:00,first,0.004771112074670845,TA
KRW-SHIB,2024-10-30-00:00,2024-10-27-00:00,second,0.005242720700029575,TA
KRW-SHIB,2024-10-29-00:00,2024-10-26-00:00,first,0.004643234250351792,TA
KRW-SHIB,2024-10-29-00:00,2024-10-26-00:00,second,0.0035426669637784805,TA
KRW-SHIB,2024-10-28-00:00,2024-10-25-00:00,first,0.0059308491799588865,TA
KRW-SHIB,2024-10-28-00:00,2024-10-25-00:00,second,0.004002814361634258,TA
KRW-SHIB,2024-10-27-00:00,2024-10-24-00:00,first,0.004774342470783699,TA
KRW-SHIB,2024-10-27-00:00,2024-10-24-00:00,second,0.0033957193626638392,TA
KRW-SHIB,2024-10-26-00:00,2024-10-23-00:00,first,0.005659796052678513,TA
KRW-SHIB,2024-10-26-00:00,2024-10-23-00:00,second,0.003487918366930505,TA
KRW-SHIB,2024-10-25-00:00,2024-10-22-00:00,first,0.008417498951186134,TA
KRW-SHIB,2024-10-25-00:00,2024-10-22-00:00,second,0.0027793373748270776,TA
