symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
LPTUSDT,2022-01-01-00:00,2022-01-02-00:00,first,"[0.3409090909090909, 0.175, 0.11969696969696969, 0.0856060606060606, 0.08636363636363636, 0.06287878787878788, 0.03939393939393939, 0.04015151515151515, 0.05]",0.0114008877778769,2.7817437738601383
LPTUSDT,2022-01-01-00:00,2022-01-02-00:00,second,"[0.12727272727272726, 0.13257575757575757, 0.10454545454545454, 0.09545454545454546, 0.09545454545454546, 0.09318181818181819, 0.08484848484848485, 0.07651515151515151, 0.0946969696969697, 0.09545454545454546]",0.0087726444718018,3.3028260866066375
LPTUSDT,2022-01-02-00:00,2022-01-03-00:00,first,"[0.31274742676167855, 0.1702296120348377, 0.1250989707046714, 0.09897070467141726, 0.0791765637371338, 0.06967537608867776, 0.0498812351543943, 0.04592240696753761, 0.04829770387965162]",0.0042682570298823,2.8531860644259326
LPTUSDT,2022-01-02-00:00,2022-01-03-00:00,second,"[0.1536025336500396, 0.13064133016627077, 0.12747426761678543, 0.09026128266033254, 0.0997624703087886, 0.1060965954077593, 0.08234362628661916, 0.06571654790182106, 0.07363420427553444, 0.07046714172604909]",0.0157493240057174,3.2674032896735765
LPTUSDT,2022-01-03-00:00,2022-01-04-00:00,first,"[0.30631970260223046, 0.158364312267658, 0.1382899628252788, 0.10557620817843866, 0.08698884758364313, 0.06468401486988848, 0.04312267657992565, 0.04312267657992565, 0.053531598513011154]",0.0095308528475477,2.8602988975836965
LPTUSDT,2022-01-03-00:00,2022-01-04-00:00,second,"[0.12565055762081784, 0.1315985130111524, 0.11226765799256505, 0.09442379182156134, 0.09814126394052045, 0.09070631970260223, 0.09144981412639405, 0.09293680297397769, 0.0758364312267658, 0.08698884758364313]",0.006340433368983,3.302268350600598
LPTUSDT,2022-01-04-00:00,2022-01-05-00:00,first,"[0.3114754098360656, 0.16393442622950818, 0.13043478260869565, 0.08481824661439771, 0.07840342124019957, 0.06200997861724875, 0.06771204561653599, 0.05203136136849608, 0.04918032786885246]",0.0066584966756936,2.8723838910094073
LPTUSDT,2022-01-04-00:00,2022-01-05-00:00,second,"[0.11689237348538846, 0.1247327156094084, 0.10192444761225944, 0.1097647897362794, 0.0962223806129722, 0.1090520313613685, 0.09693513898788311, 0.08624376336421953, 0.07982893799002139, 0.07840342124019957]",0.0064426080942129,3.3062249064733398
LPTUSDT,2022-01-05-00:00,2022-01-06-00:00,first,"[0.3075313807531381, 0.17224546722454673, 0.12761506276150628, 0.09693165969316597, 0.08228730822873083, 0.06485355648535565, 0.06415620641562064, 0.043235704323570434, 0.041143654114365415]",0.0041043732325583,2.857604752929134
LPTUSDT,2022-01-05-00:00,2022-01-06-00:00,second,"[0.12761506276150628, 0.1290097629009763, 0.10808926080892609, 0.09623430962343096, 0.09065550906555091, 0.09762900976290098, 0.10111576011157601, 0.08507670850767085, 0.08298465829846582, 0.08158995815899582]",0.0063496503894327,3.3035318918398913
LPTUSDT,2022-01-06-00:00,2022-01-07-00:00,first,"[0.2866065232477446, 0.17210270645385148, 0.1193615544760583, 0.11311589174184594, 0.0784177654406662, 0.07564191533657183, 0.048577376821651634, 0.05412907702984039, 0.0520471894517696]",0.0075927239807337,2.90669572057808
LPTUSDT,2022-01-06-00:00,2022-01-07-00:00,second,"[0.12352532963219987, 0.0922970159611381, 0.10964607911172797, 0.10895211658570438, 0.09437890353920889, 0.0916030534351145, 0.10617626648161, 0.09715475364330327, 0.0922970159611381, 0.08396946564885496]",0.0067248909901668,3.3130795483335524
LPTUSDT,2022-01-07-00:00,2022-01-08-00:00,first,"[0.29064039408866993, 0.18226600985221675, 0.11893033075299085, 0.09781843771991555, 0.08374384236453201, 0.06685432793807178, 0.05700211118930331, 0.059113300492610835, 0.043631245601688955]",0.0043570110823403,2.8936153824071384
LPTUSDT,2022-01-07-00:00,2022-01-08-00:00,second,"[0.12244897959183673, 0.11611541168191415, 0.1055594651653765, 0.10626319493314568, 0.09148486980999296, 0.09289232934553132, 0.09218859957776214, 0.10485573539760731, 0.08866995073891626, 0.07952146375791697]",0.0045064594519117,3.310511312040883
LPTUSDT,2022-01-08-00:00,2022-01-09-00:00,first,"[0.3419497784342688, 0.16617429837518463, 0.11669128508124077, 0.10044313146233383, 0.07607090103397342, 0.06277695716395865, 0.051698670605613, 0.0413589364844904, 0.04283604135893648]",0.0098784224943477,2.793462907987331
LPTUSDT,2022-01-08-00:00,2022-01-09-00:00,second,"[0.1329394387001477, 0.11152141802067947, 0.09231905465288036, 0.11225997045790251, 0.11152141802067947, 0.08197932053175776, 0.0878877400295421, 0.0827178729689808, 0.086410635155096, 0.10044313146233383]",0.0095699150975903,3.304227200006338
LPTUSDT,2022-01-09-00:00,2022-01-10-00:00,first,"[0.30509745127436283, 0.1679160419790105, 0.13043478260869565, 0.10119940029985007, 0.07871064467766117, 0.07196401799100449, 0.05997001499250375, 0.05247376311844078, 0.03223388305847077]",0.0049265390997419,2.860694684565164
LPTUSDT,2022-01-09-00:00,2022-01-10-00:00,second,"[0.1409295352323838, 0.10119940029985007, 0.10719640179910045, 0.10569715142428786, 0.0937031484257871, 0.09895052473763119, 0.08470764617691154, 0.07721139430284858, 0.09145427286356822, 0.09895052473763119]",0.0085457077457571,3.3039162893452674
LPTUSDT,2022-01-10-00:00,2022-01-11-00:00,first,"[0.3090356871678056, 0.16932422171602127, 0.09643128321943811, 0.09870918754745633, 0.09491268033409264, 0.0630220197418375, 0.0721336370539104, 0.04783599088838269, 0.04859529233105543]",0.0094479538169546,2.881745884205759
