symbol,start_date,end_date,actual_frequencies,digit_type,target
ADAUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.2963219986120749, 0.20680083275503122, 0.1325468424705066, 0.08188757807078417, 0.07078417765440666, 0.061068702290076333, 0.0520471894517696, 0.04996530187369882, 0.048577376821651634]",first,TA
ADAUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.10687022900763359, 0.12074947952810548, 0.1040943789035392, 0.12283136710617627, 0.10964607911172797, 0.0936849410131853, 0.09646079111727966, 0.0784177654406662, 0.08188757807078417, 0.08535739070090215]",second,TA
ADAUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.25815405968077726, 0.19222761970853575, 0.1457321304649549, 0.11034004163775156, 0.08049965301873699, 0.07217210270645386, 0.047883414295628035, 0.04718945176960444, 0.04580152671755725]",first,TA
ADAUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.11103400416377515, 0.1193615544760583, 0.1179736294240111, 0.11242192921582235, 0.08882720333102012, 0.08674531575294935, 0.0922970159611381, 0.0916030534351145, 0.09090909090909091, 0.08882720333102012]",second,TA
ADAUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.3324080499653019, 0.17904233171408743, 0.12074947952810548, 0.07356002775850104, 0.06800832755031229, 0.0652324774462179, 0.055517002081887576, 0.05343511450381679, 0.0520471894517696]",first,TA
ADAUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.11589174184594032, 0.11103400416377515, 0.11311589174184594, 0.10756419153365718, 0.1054823039555864, 0.08535739070090215, 0.09021512838306732, 0.09507286606523248, 0.09646079111727966, 0.0798056904927134]",second,TA
ADAUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.260235947258848, 0.17973629424011103, 0.15405968077723803, 0.1193615544760583, 0.08327550312283137, 0.06662040249826509, 0.05690492713393477, 0.04302567661346287, 0.03678001387925052]",first,TA
ADAUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.11103400416377515, 0.11380985426786953, 0.1054823039555864, 0.11034004163775156, 0.1040943789035392, 0.09299097848716169, 0.08327550312283137, 0.08674531575294935, 0.09715475364330327, 0.09507286606523248]",second,TA
ADAUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.29840388619014574, 0.1991672449687717, 0.12768910478834142, 0.10756419153365718, 0.07286606523247745, 0.04441360166551006, 0.056210964607911175, 0.04718945176960444, 0.046495489243580844]",first,TA
ADAUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.11658570437196392, 0.10687022900763359, 0.11450381679389313, 0.10201249132546843, 0.11380985426786953, 0.08882720333102012, 0.08396946564885496, 0.08396946564885496, 0.10270645385149202, 0.08674531575294935]",second,TA
