symbol,start_date,end_date,actual_frequencies,digit_type,target
OXTUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.3070362473347548, 0.16844349680170576, 0.11656005685856433, 0.09737029140014215, 0.08031272210376687, 0.07107320540156362, 0.05614783226723525, 0.05472636815920398, 0.048329779673063254]",first,TA
OXTUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.11158493248045487, 0.11442786069651742, 0.11584932480454868, 0.10305614783226724, 0.11016346837242359, 0.0923951670220327, 0.09310589907604833, 0.0923951670220327, 0.08813077469793888, 0.07889125799573561]",second,TA
OXTUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.3064066852367688, 0.16573816155988857, 0.14206128133704735, 0.10724233983286909, 0.08635097493036212, 0.06128133704735376, 0.05362116991643454, 0.036211699164345405, 0.04108635097493036]",first,TA
OXTUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.12674094707520892, 0.12047353760445682, 0.12952646239554316, 0.08983286908077995, 0.08844011142061281, 0.10167130919220056, 0.08286908077994429, 0.07242339832869081, 0.08774373259052924, 0.10027855153203342]",second,TA
OXTUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.3015647226173542, 0.18349928876244664, 0.13157894736842105, 0.0945945945945946, 0.07894736842105263, 0.06330014224751067, 0.051209103840682786, 0.049786628733997154, 0.04551920341394026]",first,TA
OXTUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.11450924608819346, 0.10455192034139403, 0.11450924608819346, 0.12019914651493599, 0.09743954480796586, 0.08961593172119488, 0.08534850640113797, 0.10028449502133713, 0.08321479374110953, 0.0903271692745377]",second,TA
OXTUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.32661570535093815, 0.20083391243919388, 0.11674774148714386, 0.08269631688672689, 0.06810284920083391, 0.054204308547602505, 0.04794996525364837, 0.04586518415566365, 0.05698401667824878]",first,TA
OXTUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.10771369006254343, 0.11952744961779013, 0.10076441973592773, 0.1014593467685893, 0.10006949270326616, 0.10076441973592773, 0.10493398193189715, 0.09867963863794302, 0.08825573314801946, 0.0778318276580959]",second,TA
OXTUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.31216111541440744, 0.19442292796281951, 0.11618900077459333, 0.09372579395817196, 0.069713400464756, 0.06893880712625872, 0.041828040278853604, 0.048024786986831915, 0.054996127033307515]",first,TA
OXTUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.13090627420604184, 0.1123160340821069, 0.10224632068164213, 0.10302091402013942, 0.09372579395817196, 0.11154144074360961, 0.07591014717273431, 0.08520526723470179, 0.08985282726568551, 0.09527498063516654]",second,TA
OXTUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.31138211382113823, 0.1796747967479675, 0.10650406504065041, 0.08292682926829269, 0.07723577235772358, 0.061788617886178863, 0.06585365853658537, 0.052845528455284556, 0.061788617886178863]",first,TA
OXTUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.11544715447154472, 0.11869918699186992, 0.1008130081300813, 0.09674796747967479, 0.0959349593495935, 0.09349593495934959, 0.08455284552845528, 0.09349593495934959, 0.09268292682926829, 0.108130081300813]",second,TA
OXTUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.3168724279835391, 0.17613168724279835, 0.11522633744855967, 0.07489711934156379, 0.08395061728395062, 0.06748971193415639, 0.056790123456790124, 0.05102880658436214, 0.05761316872427984]",first,TA
OXTUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.10781893004115227, 0.10534979423868313, 0.10534979423868313, 0.10041152263374485, 0.10123456790123457, 0.10123456790123457, 0.0823045267489712, 0.07736625514403292, 0.13415637860082305, 0.08477366255144032]",second,TA
OXTUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.33228346456692914, 0.1984251968503937, 0.1188976377952756, 0.08582677165354331, 0.07559055118110236, 0.050393700787401574, 0.04251968503937008, 0.051181102362204724, 0.04488188976377953]",first,TA
OXTUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.11023622047244094, 0.1173228346456693, 0.11496062992125984, 0.09055118110236221, 0.09606299212598425, 0.09133858267716535, 0.1015748031496063, 0.10236220472440945, 0.07637795275590552, 0.09921259842519685]",second,TA
OXTUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.3355155482815057, 0.17757774140752863, 0.09819967266775777, 0.0662847790507365, 0.09328968903436989, 0.07692307692307693, 0.0662847790507365, 0.04091653027823241, 0.045008183306055646]",first,TA
OXTUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.1309328968903437, 0.12111292962356793, 0.1039279869067103, 0.09083469721767594, 0.07364975450081833, 0.10474631751227496, 0.10474631751227496, 0.07610474631751228, 0.08019639934533551, 0.11374795417348608]",second,TA
OXTUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.3233387358184765, 0.1612641815235008, 0.11183144246353323, 0.09238249594813615, 0.07293354943273905, 0.059967585089141004, 0.05915721231766612, 0.06645056726094004, 0.0526742301458671]",first,TA
OXTUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.1393841166936791, 0.11507293354943274, 0.09967585089141005, 0.09076175040518639, 0.09805510534846029, 0.09724473257698542, 0.09562398703403566, 0.08589951377633712, 0.07941653160453808, 0.09886547811993517]",second,TA
OXTUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.32245532245532244, 0.17249417249417248, 0.1258741258741259, 0.08391608391608392, 0.08313908313908314, 0.053613053613053616, 0.05672105672105672, 0.04351204351204351, 0.05827505827505827]",first,TA
OXTUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.128982128982129, 0.11033411033411034, 0.10178710178710179, 0.09867909867909867, 0.0979020979020979, 0.09090909090909091, 0.08780108780108781, 0.09090909090909091, 0.10023310023310024, 0.09246309246309246]",second,TA
OXTUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.3117782909930716, 0.1562740569668976, 0.11239414934565051, 0.09699769053117784, 0.07621247113163972, 0.06081601231716705, 0.04772902232486528, 0.07005388760585066, 0.06774441878367975]",first,TA
OXTUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.1308698999230177, 0.11393379522709776, 0.09545804464973057, 0.0939183987682833, 0.08237105465742879, 0.09237875288683603, 0.07698229407236336, 0.09776751347190146, 0.100846805234796, 0.11547344110854503]",second,TA
OXTUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.2976391231028668, 0.16526138279932545, 0.11888701517706576, 0.09274873524451939, 0.10623946037099494, 0.06155143338954469, 0.049747048903878585, 0.05480607082630692, 0.05311973018549747]",first,TA
OXTUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.12225969645868466, 0.10539629005059022, 0.11467116357504216, 0.1163575042158516, 0.09274873524451939, 0.08263069139966273, 0.09359190556492411, 0.09527824620573355, 0.09190556492411467, 0.0851602023608769]",second,TA
OXTUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.25467775467775466, 0.1632016632016632, 0.12785862785862787, 0.09667359667359668, 0.09771309771309772, 0.08835758835758836, 0.062370062370062374, 0.05405405405405406, 0.0550935550935551]",first,TA
OXTUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.09667359667359668, 0.11122661122661123, 0.10083160083160084, 0.10706860706860707, 0.08835758835758836, 0.10810810810810811, 0.07172557172557173, 0.09667359667359668, 0.11122661122661123, 0.10810810810810811]",second,TA
OXTUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.25844594594594594, 0.19932432432432431, 0.11148648648648649, 0.10810810810810811, 0.10472972972972973, 0.056587837837837836, 0.059966216216216214, 0.04054054054054054, 0.060810810810810814]",first,TA
OXTUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.11317567567567567, 0.11148648648648649, 0.13091216216216217, 0.09712837837837837, 0.10557432432432433, 0.0945945945945946, 0.09543918918918919, 0.09375, 0.07601351351351351, 0.08192567567567567]",second,TA
