symbol,start_date,end_date,actual_frequencies,digit_type,target
SNXUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.2926829268292683, 0.17073170731707318, 0.12125435540069686, 0.11777003484320557, 0.07665505226480836, 0.06480836236933799, 0.05156794425087108, 0.05853658536585366, 0.045993031358885016]",first,TA
SNXUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.11916376306620209, 0.11846689895470383, 0.09686411149825784, 0.10383275261324042, 0.08989547038327526, 0.0975609756097561, 0.10383275261324042, 0.09128919860627177, 0.08850174216027874, 0.09059233449477352]",second,TA
SNXUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.3013221990257481, 0.17745302713987474, 0.12038970076548365, 0.11203897007654837, 0.07515657620041753, 0.05636743215031315, 0.05358385525400139, 0.055671537926235214, 0.04801670146137787]",first,TA
SNXUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.1057759220598469, 0.12178148921363953, 0.10368823938761308, 0.09394572025052192, 0.09324982602644398, 0.10020876826722339, 0.09046624913013222, 0.09812108559498957, 0.09672929714683368, 0.09603340292275574]",second,TA
SNXUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.31824512534818944, 0.1775766016713092, 0.11768802228412256, 0.10793871866295264, 0.07520891364902507, 0.05988857938718663, 0.04665738161559889, 0.055710306406685235, 0.04108635097493036]",first,TA
SNXUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.12813370473537605, 0.100974930362117, 0.10027855153203342, 0.10445682451253482, 0.09122562674094707, 0.11142061281337047, 0.10445682451253482, 0.08147632311977716, 0.08704735376044569, 0.0905292479108635]",second,TA
SNXUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.29444444444444445, 0.18680555555555556, 0.12152777777777778, 0.09513888888888888, 0.075, 0.06944444444444445, 0.06180555555555556, 0.050694444444444445, 0.04513888888888889]",first,TA
SNXUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.11736111111111111, 0.12638888888888888, 0.11180555555555556, 0.09652777777777778, 0.09930555555555555, 0.10069444444444445, 0.09652777777777778, 0.08055555555555556, 0.08958333333333333, 0.08125]",second,TA
SNXUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.303347280334728, 0.16527196652719664, 0.1192468619246862, 0.10599721059972106, 0.0794979079497908, 0.06694560669456066, 0.04951185495118549, 0.0599721059972106, 0.0502092050209205]",first,TA
SNXUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.11366806136680614, 0.12273361227336123, 0.1087866108786611, 0.10111576011157601, 0.09832635983263599, 0.09135285913528592, 0.09553695955369595, 0.09135285913528592, 0.09762900976290098, 0.0794979079497908]",second,TA
SNXUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.3138888888888889, 0.14722222222222223, 0.11180555555555556, 0.08958333333333333, 0.08958333333333333, 0.08263888888888889, 0.06458333333333334, 0.04861111111111111, 0.052083333333333336]",first,TA
SNXUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.13194444444444445, 0.11944444444444445, 0.09097222222222222, 0.10347222222222222, 0.09652777777777778, 0.08680555555555555, 0.10694444444444444, 0.08333333333333333, 0.08819444444444445, 0.09236111111111112]",second,TA
