symbol,start_date,end_date,actual_frequencies,digit_type,target
NEARUSDT,2020-10-14-00:00,2020-10-15-00:00,"[0.2795341098169717, 0.20299500831946754, 0.1314475873544093, 0.11314475873544093, 0.07986688851913477, 0.059900166389351084, 0.06156405990016639, 0.04658901830282862, 0.024958402662229616]",first,TA
NEARUSDT,2020-10-14-00:00,2020-10-15-00:00,"[0.1064891846921797, 0.12146422628951747, 0.1064891846921797, 0.11314475873544093, 0.11148086522462562, 0.09650582362728785, 0.07487520798668885, 0.09983361064891846, 0.07487520798668885, 0.09484193011647254]",second,TA
NEARUSDT,2020-10-15-00:00,2020-10-16-00:00,"[0.32269503546099293, 0.16099290780141845, 0.10567375886524823, 0.08936170212765958, 0.07375886524822695, 0.07234042553191489, 0.059574468085106386, 0.05319148936170213, 0.062411347517730496]",first,TA
NEARUSDT,2020-10-15-00:00,2020-10-16-00:00,"[0.12198581560283688, 0.1226950354609929, 0.10425531914893617, 0.08794326241134752, 0.1049645390070922, 0.09290780141843971, 0.09148936170212765, 0.1, 0.08156028368794327, 0.09219858156028368]",second,TA
NEARUSDT,2020-10-16-00:00,2020-10-17-00:00,"[0.30847212165097754, 0.16799420709630702, 0.13178855901520636, 0.09775524981897175, 0.0832729905865315, 0.056480811006517015, 0.05720492396813903, 0.044170890658942794, 0.05286024619840695]",first,TA
NEARUSDT,2020-10-16-00:00,2020-10-17-00:00,"[0.12816799420709632, 0.10427226647356988, 0.10499637943519188, 0.11006517016654598, 0.11368573497465605, 0.09630702389572773, 0.09703113685734975, 0.08544532947139753, 0.07458363504706735, 0.08544532947139753]",second,TA
NEARUSDT,2020-10-17-00:00,2020-10-18-00:00,"[0.30384336475707036, 0.17693981145757795, 0.11602610587382162, 0.09354604786076867, 0.0674401740391588, 0.07324147933284988, 0.06453952139231327, 0.06163886874546773, 0.04278462654097172]",first,TA
NEARUSDT,2020-10-17-00:00,2020-10-18-00:00,"[0.12762871646120377, 0.12037708484408992, 0.10442349528643945, 0.10224800580130529, 0.10007251631617115, 0.09427121102248005, 0.09789702683103699, 0.07614213197969544, 0.09354604786076867, 0.08339376359680928]",second,TA
NEARUSDT,2020-10-18-00:00,2020-10-19-00:00,"[0.29992044550517105, 0.19331742243436753, 0.12728719172633254, 0.09944311853619729, 0.07478122513922036, 0.05409705648369133, 0.046141607000795545, 0.05807478122513922, 0.046937151949085126]",first,TA
NEARUSDT,2020-10-18-00:00,2020-10-19-00:00,"[0.1177406523468576, 0.12410501193317422, 0.1177406523468576, 0.10023866348448687, 0.09148766905330151, 0.09387430389817025, 0.08512330946698489, 0.09148766905330151, 0.09466984884645982, 0.08353221957040573]",second,TA
