symbol,start_date,end_date,digit_type,mad,target
KRW-ASTR,2025-01-01-00:00,2024-12-31-00:00,first,0.007414169813108289,TA
KRW-ASTR,2025-01-01-00:00,2024-12-31-00:00,second,0.02486467586908537,TA
KRW-ASTR,2024-12-31-00:00,2024-12-30-00:00,first,0.011757312009389745,TA
KRW-ASTR,2024-12-31-00:00,2024-12-30-00:00,second,0.020989024699797215,TA
KRW-ASTR,2024-12-30-00:00,2024-12-29-00:00,first,0.016915834382147204,TA
KRW-ASTR,2024-12-30-00:00,2024-12-29-00:00,second,0.02246467586908537,TA
KRW-ASTR,2024-12-29-00:00,2024-12-28-00:00,first,0.015803216391352626,TA
KRW-ASTR,2024-12-29-00:00,2024-12-28-00:00,second,0.022864675869085367,TA
KRW-ASTR,2024-12-28-00:00,2024-12-27-00:00,first,0.014357038964156505,TA
KRW-ASTR,2024-12-28-00:00,2024-12-27-00:00,second,0.018633709401317054,TA
KRW-ASTR,2024-12-27-00:00,2024-12-26-00:00,first,0.015042009882223853,TA
KRW-ASTR,2024-12-27-00:00,2024-12-26-00:00,second,0.015883998486646428,TA
KRW-ASTR,2024-12-26-00:00,2024-12-25-00:00,first,0.010841760308073134,TA
KRW-ASTR,2024-12-26-00:00,2024-12-25-00:00,second,0.018798262240852567,TA
KRW-ASTR,2024-12-25-00:00,2024-12-24-00:00,first,0.01732324178955461,TA
KRW-ASTR,2024-12-25-00:00,2024-12-24-00:00,second,0.016731342535752033,TA
KRW-ASTR,2024-12-24-00:00,2024-12-23-00:00,first,0.010032160894444161,TA
KRW-ASTR,2024-12-24-00:00,2024-12-23-00:00,second,0.014784541360442938,TA
KRW-ASTR,2024-12-23-00:00,2024-12-22-00:00,first,0.010144722307476357,TA
KRW-ASTR,2024-12-23-00:00,2024-12-22-00:00,second,0.016119988520907423,TA
KRW-ASTR,2024-12-22-00:00,2024-12-21-00:00,first,0.004956035677514229,TA
KRW-ASTR,2024-12-22-00:00,2024-12-21-00:00,second,0.0123794982436153,TA
KRW-ASTR,2024-12-21-00:00,2024-12-20-00:00,first,0.006503135969448791,TA
KRW-ASTR,2024-12-21-00:00,2024-12-20-00:00,second,0.009125918251778616,TA
KRW-ASTR,2024-12-20-00:00,2024-12-19-00:00,first,0.009524450489575866,TA
KRW-ASTR,2024-12-20-00:00,2024-12-19-00:00,second,0.010379779455681033,TA
