symbol,start_date,end_date,digit_type,mad,target
KRW-ETH,2025-01-01-00:00,2024-12-31-00:00,first,0.005161576256955961,TA
KRW-ETH,2025-01-01-00:00,2024-12-31-00:00,second,0.012558348067391551,TA
KRW-ETH,2024-12-31-00:00,2024-12-30-00:00,first,0.004910000963559735,TA
KRW-ETH,2024-12-31-00:00,2024-12-30-00:00,second,0.007626306363263629,TA
KRW-ETH,2024-12-30-00:00,2024-12-29-00:00,first,0.004493459288368211,TA
KRW-ETH,2024-12-30-00:00,2024-12-29-00:00,second,0.0059173499030494865,TA
KRW-ETH,2024-12-29-00:00,2024-12-28-00:00,first,0.005509004867309856,TA
KRW-ETH,2024-12-29-00:00,2024-12-28-00:00,second,0.005626948969286521,TA
KRW-ETH,2024-12-28-00:00,2024-12-27-00:00,first,0.00425083228451946,TA
KRW-ETH,2024-12-28-00:00,2024-12-27-00:00,second,0.005040270836241374,TA
KRW-ETH,2024-12-27-00:00,2024-12-26-00:00,first,0.007973729101905688,TA
KRW-ETH,2024-12-27-00:00,2024-12-26-00:00,second,0.004993491281024981,TA
KRW-ETH,2024-12-26-00:00,2024-12-25-00:00,first,0.00685249815813467,TA
KRW-ETH,2024-12-26-00:00,2024-12-25-00:00,second,0.006543337760547182,TA
KRW-ETH,2024-12-25-00:00,2024-12-24-00:00,first,0.006833050652502743,TA
KRW-ETH,2024-12-25-00:00,2024-12-24-00:00,second,0.006587176212770385,TA
KRW-ETH,2024-12-24-00:00,2024-12-23-00:00,first,0.00902428352339323,TA
KRW-ETH,2024-12-24-00:00,2024-12-23-00:00,second,0.003477811708934575,TA
KRW-ETH,2024-12-23-00:00,2024-12-22-00:00,first,0.010778610062297234,TA
KRW-ETH,2024-12-23-00:00,2024-12-22-00:00,second,0.0059121359046793,TA
KRW-ETH,2024-12-22-00:00,2024-12-21-00:00,first,0.006187496060506917,TA
KRW-ETH,2024-12-22-00:00,2024-12-21-00:00,second,0.00516499385444492,TA
KRW-ETH,2024-12-21-00:00,2024-12-20-00:00,first,0.01031071437897902,TA
KRW-ETH,2024-12-21-00:00,2024-12-20-00:00,second,0.0069197374174691404,TA
KRW-ETH,2024-12-20-00:00,2024-12-19-00:00,first,0.0076776589086776075,TA
KRW-ETH,2024-12-20-00:00,2024-12-19-00:00,second,0.008791602485907064,TA
KRW-ETH,2024-12-19-00:00,2024-12-18-00:00,first,0.003126107086363892,TA
KRW-ETH,2024-12-19-00:00,2024-12-18-00:00,second,0.006027758865541806,TA
KRW-ETH,2024-12-18-00:00,2024-12-17-00:00,first,0.010361943395630568,TA
KRW-ETH,2024-12-18-00:00,2024-12-17-00:00,second,0.004973519212517004,TA
KRW-ETH,2024-12-17-00:00,2024-12-16-00:00,first,0.010215273838284696,TA
KRW-ETH,2024-12-17-00:00,2024-12-16-00:00,second,0.003848708370794622,TA
KRW-ETH,2024-12-16-00:00,2024-12-15-00:00,first,0.008352780838965264,TA
KRW-ETH,2024-12-16-00:00,2024-12-15-00:00,second,0.008202246617881149,TA
KRW-ETH,2024-12-15-00:00,2024-12-14-00:00,first,0.00908250104881387,TA
KRW-ETH,2024-12-15-00:00,2024-12-14-00:00,second,0.007386463420590373,TA
KRW-ETH,2024-12-14-00:00,2024-12-13-00:00,first,0.010244841176576536,TA
KRW-ETH,2024-12-14-00:00,2024-12-13-00:00,second,0.005310880988736051,TA
KRW-ETH,2024-12-13-00:00,2024-12-12-00:00,first,0.007108489266077588,TA
KRW-ETH,2024-12-13-00:00,2024-12-12-00:00,second,0.0047416553292998365,TA
KRW-ETH,2024-12-12-00:00,2024-12-11-00:00,first,0.010236668593786132,TA
KRW-ETH,2024-12-12-00:00,2024-12-11-00:00,second,0.008505280584727385,TA
KRW-ETH,2024-12-11-00:00,2024-12-10-00:00,first,0.00507638494939581,TA
