symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
RIFUSDT,2024-01-01-00:00,2024-01-02-00:00,first,"[0.2988313856427379, 0.18864774624373956, 0.11519198664440734, 0.09432387312186978, 0.08347245409015025, 0.05926544240400668, 0.06010016694490818, 0.05008347245409015, 0.05008347245409015]",0.00517375490916,2.8722367106569715
RIFUSDT,2024-01-01-00:00,2024-01-02-00:00,second,"[0.15108514190317196, 0.10350584307178631, 0.1018363939899833, 0.09265442404006678, 0.09682804674457429, 0.09599332220367279, 0.08931552587646077, 0.05759599332220367, 0.07846410684474124, 0.1327212020033389]",0.0158259446503875,3.278177958480359
RIFUSDT,2024-01-02-00:00,2024-01-03-00:00,first,"[0.30833333333333335, 0.1712121212121212, 0.14166666666666666, 0.07878787878787878, 0.07727272727272727, 0.07348484848484849, 0.05909090909090909, 0.03409090909090909, 0.05606060606060606]",0.0093269787100238,2.8501215545308662
RIFUSDT,2024-01-02-00:00,2024-01-03-00:00,second,"[0.12424242424242424, 0.11212121212121212, 0.10378787878787879, 0.10606060606060606, 0.08484848484848485, 0.09545454545454546, 0.0856060606060606, 0.10227272727272728, 0.08636363636363636, 0.09924242424242424]",0.0064920023326091,3.3116957980255557
RIFUSDT,2024-01-03-00:00,2024-01-04-00:00,first,"[0.2983159582999198, 0.17161186848436247, 0.12910986367281477, 0.09222133119486768, 0.08981555733761026, 0.0673616680032077, 0.052125100240577385, 0.04490777866880513, 0.0545308740978348]",0.0053319333920565,2.881886762237003
RIFUSDT,2024-01-03-00:00,2024-01-04-00:00,second,"[0.12429831595829992, 0.12349639133921411, 0.09222133119486768, 0.11868484362469928, 0.08580593424218123, 0.09302325581395349, 0.09863672814755413, 0.09623095429029671, 0.07538091419406576, 0.09222133119486768]",0.0093891110418406,3.304216487133615
RIFUSDT,2024-01-04-00:00,2024-01-05-00:00,first,"[0.31848064280496713, 0.16654492330168005, 0.11249086924762601, 0.09349890430971512, 0.08035062089116143, 0.06574141709276844, 0.0606281957633309, 0.053323593864134405, 0.04894083272461651]",0.0059134854113024,2.8648218484109997
RIFUSDT,2024-01-04-00:00,2024-01-05-00:00,second,"[0.1168736303871439, 0.11614317019722425, 0.09203798392987582, 0.09349890430971512, 0.09788166544923302, 0.09788166544923302, 0.09349890430971512, 0.10080350620891161, 0.08838568298027757, 0.10299488677867057]",0.006569269204992,3.3159544844283118
RIFUSDT,2024-01-05-00:00,2024-01-06-00:00,first,"[0.3180778032036613, 0.16857360793287568, 0.10602593440122045, 0.08237986270022883, 0.10297482837528604, 0.07551487414187644, 0.05873379099923722, 0.041952707856598014, 0.04576659038901602]",0.0111467596063324,2.8535365547390916
RIFUSDT,2024-01-05-00:00,2024-01-06-00:00,second,"[0.12280701754385964, 0.11594202898550725, 0.12280701754385964, 0.09382151029748284, 0.08695652173913043, 0.08390541571319603, 0.09305873379099924, 0.07932875667429443, 0.08848207475209764, 0.11289092295957284]",0.0095941570276795,3.303828697549916
