symbol,start_date,end_date,actual_frequencies,digit_type,target,entropy
SEIUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.28036086051353226, 0.16585704371963914, 0.11519777931991672, 0.1054823039555864, 0.08535739070090215, 0.0784177654406662, 0.06939625260235947, 0.054823039555863984, 0.04510756419153366]",first,TA,2.935176725222566
SEIUSDT,2024-01-01-00:00,2024-01-02-00:00,"[0.1297709923664122, 0.11589174184594032, 0.11103400416377515, 0.10062456627342123, 0.0936849410131853, 0.08952116585704371, 0.10201249132546843, 0.09646079111727966, 0.08049965301873699, 0.08049965301873699]",second,TA,3.3063883812456227
SEIUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.36294240111034004, 0.16446911866759195, 0.0798056904927134, 0.06176266481609993, 0.07286606523247745, 0.06453851492019431, 0.07702984038861901, 0.055517002081887576, 0.061068702290076333]",first,TA,2.79143572118476
SEIUSDT,2024-01-02-00:00,2024-01-03-00:00,"[0.12560721721027066, 0.12352532963219987, 0.12768910478834142, 0.11034004163775156, 0.1054823039555864, 0.09576682859125607, 0.09090909090909091, 0.06384455239417071, 0.07702984038861901, 0.0798056904927134]",second,TA,3.2889299613685643
SEIUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.33448993754337264, 0.13462873004857737, 0.08674531575294935, 0.08119361554476058, 0.09854267869535045, 0.08258154059680778, 0.07009021512838307, 0.056210964607911175, 0.055517002081887576]",first,TA,2.8783783386986563
SEIUSDT,2024-01-03-00:00,2024-01-04-00:00,"[0.11589174184594032, 0.10478834142956281, 0.11034004163775156, 0.11380985426786953, 0.09021512838306732, 0.08952116585704371, 0.09299097848716169, 0.10270645385149202, 0.08952116585704371, 0.09021512838306732]",second,TA,3.314484069133904
SEIUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.37612768910478833, 0.2081887578070784, 0.09090909090909091, 0.08258154059680778, 0.05759888965995836, 0.061068702290076333, 0.03608605135322693, 0.04302567661346287, 0.04441360166551006]",first,TA,2.664836989066619
SEIUSDT,2024-01-04-00:00,2024-01-05-00:00,"[0.12213740458015267, 0.10201249132546843, 0.11866759195003469, 0.1054823039555864, 0.09993060374739764, 0.09715475364330327, 0.11380985426786953, 0.07564191533657183, 0.09299097848716169, 0.07217210270645386]",second,TA,3.3034093137166782
SEIUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.33657182512144346, 0.1179736294240111, 0.08466342817487855, 0.07356002775850104, 0.09507286606523248, 0.09021512838306732, 0.07425399028452463, 0.07494795281054822, 0.0527411519777932]",first,TA,2.8894928180578225
SEIUSDT,2024-01-05-00:00,2024-01-06-00:00,"[0.12352532963219987, 0.12213740458015267, 0.11589174184594032, 0.1054823039555864, 0.09646079111727966, 0.09646079111727966, 0.09576682859125607, 0.07633587786259542, 0.08535739070090215, 0.08258154059680778]",second,TA,3.304299259862894
SEIUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.22137404580152673, 0.14712005551700208, 0.12352532963219987, 0.10478834142956281, 0.10131852879944483, 0.09923664122137404, 0.0784177654406662, 0.06384455239417071, 0.06037473976405274]",first,TA,3.0534282356408893
SEIUSDT,2024-01-06-00:00,2024-01-07-00:00,"[0.12560721721027066, 0.09507286606523248, 0.11242192921582235, 0.1054823039555864, 0.0922970159611381, 0.09715475364330327, 0.09576682859125607, 0.09576682859125607, 0.09299097848716169, 0.08743927827897294]",second,TA,3.313783598880198
SEIUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.2359472588480222, 0.16377515614156835, 0.14226231783483692, 0.12838306731436502, 0.0922970159611381, 0.06870229007633588, 0.06939625260235947, 0.055517002081887576, 0.04371963913948647]",first,TA,2.978307056268542
SEIUSDT,2024-01-07-00:00,2024-01-08-00:00,"[0.11034004163775156, 0.10964607911172797, 0.11727966689798751, 0.09923664122137404, 0.09993060374739764, 0.10062456627342123, 0.09715475364330327, 0.09923664122137404, 0.08605135322692574, 0.08049965301873699]",second,TA,3.314007046470773
SEIUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.23733518390006939, 0.1582234559333796, 0.11380985426786953, 0.12560721721027066, 0.09715475364330327, 0.08605135322692574, 0.07078417765440666, 0.05759888965995836, 0.05343511450381679]",first,TA,3.0108328964990876
SEIUSDT,2024-01-08-00:00,2024-01-09-00:00,"[0.11519777931991672, 0.12005551700208189, 0.10131852879944483, 0.10201249132546843, 0.10340041637751561, 0.09715475364330327, 0.09021512838306732, 0.10062456627342123, 0.08605135322692574, 0.08396946564885496]",second,TA,3.313280290447203
SEIUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.2685634975711312, 0.12352532963219987, 0.1179736294240111, 0.10687022900763359, 0.08813324080499653, 0.08605135322692574, 0.08743927827897294, 0.06315058986814712, 0.05829285218598196]",first,TA,3.0020342755593044
SEIUSDT,2024-01-09-00:00,2024-01-10-00:00,"[0.13740458015267176, 0.11242192921582235, 0.10340041637751561, 0.09299097848716169, 0.09646079111727966, 0.09993060374739764, 0.0916030534351145, 0.09646079111727966, 0.09507286606523248, 0.07425399028452463]",second,TA,3.3052470022677842
SEIUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.22553782095766828, 0.17418459403192227, 0.15405968077723803, 0.12283136710617627, 0.08535739070090215, 0.08396946564885496, 0.06662040249826509, 0.04718945176960444, 0.040249826509368494]",first,TA,2.9690110298435166
SEIUSDT,2024-01-10-00:00,2024-01-11-00:00,"[0.11519777931991672, 0.10825815405968078, 0.11242192921582235, 0.10895211658570438, 0.08605135322692574, 0.09715475364330327, 0.08674531575294935, 0.09646079111727966, 0.08882720333102012, 0.09993060374739764]",second,TA,3.314342850883503
SEIUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.29840388619014574, 0.16793893129770993, 0.12421929215822346, 0.10964607911172797, 0.07286606523247745, 0.0659264399722415, 0.06453851492019431, 0.0527411519777932, 0.04371963913948647]",first,TA,2.886766369745989
SEIUSDT,2024-01-11-00:00,2024-01-12-00:00,"[0.11450381679389313, 0.1193615544760583, 0.09784871616932686, 0.09576682859125607, 0.11103400416377515, 0.09784871616932686, 0.0916030534351145, 0.08466342817487855, 0.08952116585704371, 0.09784871616932686]",second,TA,3.313719234797258
SEIUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.2227619708535739, 0.15405968077723803, 0.1554476058292852, 0.131852879944483, 0.09090909090909091, 0.08813324080499653, 0.05898681471200555, 0.05898681471200555, 0.0388619014573213]",first,TA,2.9883341767189027
SEIUSDT,2024-01-12-00:00,2024-01-13-00:00,"[0.11034004163775156, 0.11450381679389313, 0.11172796668979876, 0.10756419153365718, 0.09923664122137404, 0.0936849410131853, 0.10062456627342123, 0.08258154059680778, 0.0922970159611381, 0.08743927827897294]",second,TA,3.314117542892053
SEIUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.2761970853573907, 0.17418459403192227, 0.13462873004857737, 0.09993060374739764, 0.09784871616932686, 0.07286606523247745, 0.05898681471200555, 0.0520471894517696, 0.033310201249132546]",first,TA,2.903127573646853
SEIUSDT,2024-01-13-00:00,2024-01-14-00:00,"[0.1179736294240111, 0.10478834142956281, 0.10687022900763359, 0.09784871616932686, 0.09923664122137404, 0.09923664122137404, 0.09090909090909091, 0.0936849410131853, 0.08674531575294935, 0.10270645385149202]",second,TA,3.316899521247285
SEIUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.2741151977793199, 0.19569743233865372, 0.13948646773074255, 0.10062456627342123, 0.07702984038861901, 0.0652324774462179, 0.06315058986814712, 0.041637751561415685, 0.04302567661346287]",first,TA,2.881785144236377
SEIUSDT,2024-01-14-00:00,2024-01-15-00:00,"[0.1193615544760583, 0.1179736294240111, 0.09576682859125607, 0.09715475364330327, 0.11034004163775156, 0.09576682859125607, 0.09299097848716169, 0.09854267869535045, 0.08674531575294935, 0.08535739070090215]",second,TA,3.31278028185695
SEIUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.28105482303955587, 0.19222761970853575, 0.1304649548924358, 0.12699514226231784, 0.08535739070090215, 0.06870229007633588, 0.04441360166551006, 0.03816793893129771, 0.03261623872310895]",first,TA,2.842307407175463
SEIUSDT,2024-01-15-00:00,2024-01-16-00:00,"[0.1311589174184594, 0.10478834142956281, 0.10687022900763359, 0.10687022900763359, 0.09576682859125607, 0.09021512838306732, 0.0922970159611381, 0.09993060374739764, 0.08813324080499653, 0.08396946564885496]",second,TA,3.310422593707969
SEIUSDT,2024-01-16-00:00,2024-01-17-00:00,"[0.36294240111034004, 0.16724496877168632, 0.0922970159611381, 0.07356002775850104, 0.0777238029146426, 0.0652324774462179, 0.056210964607911175, 0.05135322692574601, 0.05343511450381679]",first,TA,2.7789875551880843
SEIUSDT,2024-01-16-00:00,2024-01-17-00:00,"[0.12560721721027066, 0.10478834142956281, 0.11866759195003469, 0.10270645385149202, 0.10895211658570438, 0.0922970159611381, 0.08049965301873699, 0.10062456627342123, 0.08258154059680778, 0.08327550312283137]",second,TA,3.306557659973502
SEIUSDT,2024-01-17-00:00,2024-01-18-00:00,"[0.28105482303955587, 0.16030534351145037, 0.13740458015267176, 0.11172796668979876, 0.0916030534351145, 0.07564191533657183, 0.055517002081887576, 0.056210964607911175, 0.030534351145038167]",first,TA,2.901075584423418
SEIUSDT,2024-01-17-00:00,2024-01-18-00:00,"[0.12074947952810548, 0.11727966689798751, 0.11172796668979876, 0.1040943789035392, 0.09090909090909091, 0.09576682859125607, 0.08605135322692574, 0.09715475364330327, 0.08674531575294935, 0.08952116585704371]",second,TA,3.3114754955462775
SEIUSDT,2024-01-18-00:00,2024-01-19-00:00,"[0.2768910478834143, 0.16863289382373353, 0.11866759195003469, 0.10340041637751561, 0.08119361554476058, 0.07702984038861901, 0.06037473976405274, 0.06731436502428868, 0.046495489243580844]",first,TA,2.940832068841609
