symbol,start_date,end_date,actual_frequencies,digit_type,target
DEXEUSDT,2021-07-23-00:00,2021-07-24-00:00,"[0.26578073089701, 0.17275747508305647, 0.15614617940199335, 0.07308970099667775, 0.08637873754152824, 0.05647840531561462, 0.04983388704318937, 0.08305647840531562, 0.05647840531561462]",first,TA
DEXEUSDT,2021-07-23-00:00,2021-07-24-00:00,"[0.15282392026578073, 0.10963455149501661, 0.10631229235880399, 0.08305647840531562, 0.09634551495016612, 0.08305647840531562, 0.10963455149501661, 0.09634551495016612, 0.08305647840531562, 0.07973421926910298]",second,TA
DEXEUSDT,2021-07-24-00:00,2021-07-25-00:00,"[0.2974287699791522, 0.19041000694927032, 0.1320361362056984, 0.09867963863794302, 0.07157748436414177, 0.059763724808895066, 0.056289089645587216, 0.04586518415566365, 0.04794996525364837]",first,TA
DEXEUSDT,2021-07-24-00:00,2021-07-25-00:00,"[0.11535788742182071, 0.10423905489923559, 0.09937456567060458, 0.11952744961779013, 0.10493398193189715, 0.09867963863794302, 0.10215427380125087, 0.09381514940931203, 0.07644197359277276, 0.08547602501737317]",second,TA
DEXEUSDT,2021-07-25-00:00,2021-07-26-00:00,"[0.3018736988202637, 0.16655100624566274, 0.12421929215822346, 0.10478834142956281, 0.08743927827897294, 0.06800832755031229, 0.0520471894517696, 0.0527411519777932, 0.04233171408743928]",first,TA
DEXEUSDT,2021-07-25-00:00,2021-07-26-00:00,"[0.10201249132546843, 0.11034004163775156, 0.11311589174184594, 0.09646079111727966, 0.11103400416377515, 0.10340041637751561, 0.09507286606523248, 0.10270645385149202, 0.09021512838306732, 0.07564191533657183]",second,TA
DEXEUSDT,2021-07-26-00:00,2021-07-27-00:00,"[0.2879944482997918, 0.1845940319222762, 0.12213740458015267, 0.09993060374739764, 0.07564191533657183, 0.06800832755031229, 0.06731436502428868, 0.0520471894517696, 0.04233171408743928]",first,TA
DEXEUSDT,2021-07-26-00:00,2021-07-27-00:00,"[0.1339347675225538, 0.10062456627342123, 0.10617626648161, 0.11450381679389313, 0.1054823039555864, 0.11311589174184594, 0.0791117279666898, 0.06800832755031229, 0.09090909090909091, 0.08813324080499653]",second,TA
DEXEUSDT,2021-07-27-00:00,2021-07-28-00:00,"[0.2817487855655795, 0.20402498265093685, 0.12005551700208189, 0.09437890353920889, 0.08952116585704371, 0.06939625260235947, 0.0520471894517696, 0.04510756419153366, 0.04371963913948647]",first,TA
DEXEUSDT,2021-07-27-00:00,2021-07-28-00:00,"[0.12005551700208189, 0.10895211658570438, 0.10131852879944483, 0.10062456627342123, 0.10201249132546843, 0.10617626648161, 0.0922970159611381, 0.10687022900763359, 0.08466342817487855, 0.07702984038861901]",second,TA
