symbol,start_date,end_date,actual_frequencies,digit_type,target
GNOUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.4977973568281938, 0.1145374449339207, 0.07488986784140969, 0.0881057268722467, 0.06607929515418502, 0.039647577092511016, 0.03524229074889868, 0.06607929515418502, 0.01762114537444934]",first,TA
GNOUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.15418502202643172, 0.05286343612334802, 0.05286343612334802, 0.07488986784140969, 0.039647577092511016, 0.048458149779735685, 0.07488986784140969, 0.05726872246696035, 0.2775330396475771, 0.16740088105726872]",second,TA
GNOUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.49222797927461137, 0.12435233160621761, 0.10362694300518134, 0.07772020725388601, 0.06735751295336788, 0.03626943005181347, 0.031088082901554404, 0.05181347150259067, 0.015544041450777202]",first,TA
GNOUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.07253886010362694, 0.09326424870466321, 0.04145077720207254, 0.05699481865284974, 0.06735751295336788, 0.03626943005181347, 0.08808290155440414, 0.06735751295336788, 0.24352331606217617, 0.23316062176165803]",second,TA
GNOUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.49642857142857144, 0.15, 0.11785714285714285, 0.039285714285714285, 0.039285714285714285, 0.03571428571428571, 0.010714285714285714, 0.08928571428571429, 0.02142857142857143]",first,TA
GNOUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.11428571428571428, 0.04642857142857143, 0.05714285714285714, 0.08928571428571429, 0.08571428571428572, 0.039285714285714285, 0.05714285714285714, 0.06785714285714285, 0.21785714285714286, 0.225]",second,TA
GNOUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.4827586206896552, 0.07758620689655173, 0.12931034482758622, 0.040948275862068964, 0.05387931034482758, 0.07974137931034483, 0.017241379310344827, 0.09913793103448276, 0.01939655172413793]",first,TA
GNOUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.11637931034482758, 0.036637931034482756, 0.040948275862068964, 0.04310344827586207, 0.13793103448275862, 0.028017241379310345, 0.03879310344827586, 0.036637931034482756, 0.14224137931034483, 0.3793103448275862]",second,TA
GNOUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.4289044289044289, 0.23076923076923078, 0.1282051282051282, 0.06526806526806526, 0.04895104895104895, 0.03496503496503497, 0.02564102564102564, 0.018648018648018648, 0.018648018648018648]",first,TA
GNOUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.21678321678321677, 0.055944055944055944, 0.053613053613053616, 0.046620046620046623, 0.06526806526806526, 0.04195804195804196, 0.04428904428904429, 0.05827505827505827, 0.09324009324009325, 0.32400932400932403]",second,TA
