symbol,start_date,end_date,actual_frequencies,digit_type,target
COMPUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.33614864864864863, 0.1858108108108108, 0.11064189189189189, 0.0929054054054054, 0.06756756756756757, 0.060810810810810814, 0.057432432432432436, 0.04307432432432432, 0.04560810810810811]",first,TA
COMPUSDT,2023-01-01-00:00,2023-01-02-00:00,"[0.12837837837837837, 0.11570945945945946, 0.09543918918918919, 0.10219594594594594, 0.08952702702702703, 0.1097972972972973, 0.09797297297297297, 0.08952702702702703, 0.0929054054054054, 0.0785472972972973]",second,TA
COMPUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.3233480176211454, 0.16916299559471365, 0.1066079295154185, 0.09515418502202644, 0.08898678414096917, 0.07929515418502203, 0.05110132158590308, 0.044933920704845816, 0.04140969162995595]",first,TA
COMPUSDT,2023-01-02-00:00,2023-01-03-00:00,"[0.13656387665198239, 0.11277533039647578, 0.10220264317180616, 0.09515418502202644, 0.08986784140969163, 0.10396475770925111, 0.11629955947136564, 0.07312775330396476, 0.08546255506607929, 0.08458149779735682]",second,TA
COMPUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.3286118980169972, 0.16619452313503305, 0.12842304060434373, 0.0906515580736544, 0.08876298394711993, 0.06043437204910293, 0.044381491973559964, 0.0453257790368272, 0.047214353163361665]",first,TA
COMPUSDT,2023-01-03-00:00,2023-01-04-00:00,"[0.11237016052880075, 0.10670443814919736, 0.11331444759206799, 0.09159584513692162, 0.10670443814919736, 0.10292728989612843, 0.11237016052880075, 0.10292728989612843, 0.06704438149197356, 0.08404154863078375]",second,TA
COMPUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.31353919239904987, 0.1749802058590657, 0.10688836104513064, 0.10688836104513064, 0.09897070467141726, 0.05779889152810768, 0.05146476642913698, 0.04592240696753761, 0.043547110055423596]",first,TA
COMPUSDT,2023-01-04-00:00,2023-01-05-00:00,"[0.1163895486935867, 0.10134600158353127, 0.1021377672209026, 0.11718131433095803, 0.1021377672209026, 0.09738717339667459, 0.10926365795724466, 0.08709422011084719, 0.07442596991290577, 0.09263657957244656]",second,TA
COMPUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.3426356589147287, 0.175968992248062, 0.11395348837209303, 0.09844961240310078, 0.07441860465116279, 0.06511627906976744, 0.053488372093023255, 0.03333333333333333, 0.04263565891472868]",first,TA
COMPUSDT,2023-01-05-00:00,2023-01-06-00:00,"[0.12093023255813953, 0.11162790697674418, 0.10542635658914729, 0.1248062015503876, 0.08527131782945736, 0.09302325581395349, 0.08062015503875969, 0.08682170542635659, 0.09224806201550388, 0.09922480620155039]",second,TA
